seed,organ,jamming,pmax_avoidance,pmax_reachability,pmax_safety,n_states,error
5,Heart,0,0.9352821600409763,0.9352821600409763,0.9999999999999998,141,
5,Lungs,0,0.9352821600409763,0.9352821600409763,0.9999999999999998,141,
5,Liver,0,0.9352821600409763,0.9352821600409763,0.9999999999999998,141,
5,Intestines,0,0.9352821600409763,0.9352821600409763,0.9999999999999998,141,
5,Pancreas,0,0.9352821600409763,0.9352821600409763,0.9999999999999998,141,
5,Kidneys,0,0.9352821600409763,0.9352821600409763,0.9999999999999998,141,
5,Heart,1,0.908210239748064,0.908210239748064,0.7070531978917003,275,
5,Lungs,1,0.9083164489684096,0.9083164489684096,0.7070531978917003,275,
5,Liver,1,0.8998667184203144,0.8998667184203144,0.7070531978917003,275,
5,Intestines,1,0.9142468521353807,0.9142468521353807,0.7070531978917003,275,
5,Pancreas,1,0.9113327177743726,0.9113327177743726,0.7070531978917003,275,
5,Kidneys,1,0.9139719715855507,0.9139719715855507,0.7070531978917003,275,
6,Heart,0,0.03988632469900832,0.03988632469900832,0.718571670014783,139,
6,Lungs,0,0.06223511595045514,0.06223511595045514,0.718571670014783,139,
6,Liver,0,0.07648351605263169,0.07648351605263169,0.718571670014783,139,
6,Intestines,0,0.06690660748781949,0.06690660748781949,0.718571670014783,139,
6,Pancreas,0,0.07507808137036744,0.07507808137036744,0.718571670014783,139,
6,Kidneys,0,0.07008774434797464,0.07008774434797464,0.718571670014783,139,
6,Heart,1,0.019765631376363522,0.019765631376363522,0.5027560130191603,272,
6,Lungs,1,0.026848393374603537,0.026848393374603537,0.5027560130191603,272,
6,Liver,1,0.03852539744724278,0.03852539744724278,0.5027560130191603,272,
6,Intestines,1,0.030083569808148324,0.030083569808148324,0.5027560130191603,272,
6,Pancreas,1,0.033120557848120756,0.033120557848120756,0.5027560130191603,272,
6,Kidneys,1,0.034806796652375294,0.034806796652375294,0.5027560130191603,272,
7,Heart,0,0.4110643730652964,0.4110643730652964,0.9999999999999998,142,
7,Lungs,0,0.4110643730652964,0.4110643730652964,0.9999999999999998,142,
7,Liver,0,0.4110643730652964,0.4110643730652964,0.9999999999999998,142,
7,Intestines,0,0.4110643730652964,0.4110643730652964,0.9999999999999998,142,
7,Pancreas,0,0.4110643730652964,0.4110643730652964,0.9999999999999998,142,
7,Kidneys,0,0.4110643730652964,0.4110643730652964,0.9999999999999998,142,
7,Heart,1,0.34549521728446114,0.34549521728446114,0.7062349308112926,278,
7,Lungs,1,0.3648945684722965,0.3648945684722965,0.7062349308112926,278,
7,Liver,1,0.34430561305962415,0.34430561305962415,0.7062349308112926,278,
7,Intestines,1,0.33761829926540315,0.33761829926540315,0.7062349308112926,278,
7,Pancreas,1,0.3630374069607797,0.3630374069607797,0.7062349308112926,278,
7,Kidneys,1,0.3607400773055915,0.3607400773055915,0.7062349308112926,278,
8,Heart,0,0.8372093023254511,0.8372093023254511,0.8372093023255811,139,
8,Lungs,0,0.8372093023254511,0.8372093023254511,0.8372093023255811,139,
8,Liver,0,0.8372093023254511,0.8372093023254511,0.8372093023255811,139,
8,Intestines,0,0.8372093023254511,0.8372093023254511,0.8372093023255811,139,
8,Pancreas,0,0.8372093023254511,0.8372093023254511,0.8372093023255811,139,
8,Kidneys,0,0.8372093023254511,0.8372093023254511,0.8372093023255811,139,
8,Heart,1,0.6620024850530354,0.6620024850530354,0.5802248249306373,278,
8,Lungs,1,0.602212598992585,0.602212598992585,0.5802248249306373,278,
8,Liver,1,0.32261140210993966,0.32261140210993966,0.5802248249306373,278,
8,Intestines,1,0.596912622350041,0.596912622350041,0.5802248249306373,278,
8,Pancreas,1,0.3795672549019609,0.3795672549019609,0.5802248249306373,278,
8,Kidneys,1,0.5043514455071899,0.5043514455071899,0.5802248249306373,278,
9,Heart,0,0.7142687319839766,0.7142687319839766,0.7142687324179358,142,
9,Lungs,0,0.7142687319839766,0.7142687319839766,0.7142687324179358,142,
9,Liver,0,0.7142687319839766,0.7142687319839766,0.7142687324179358,142,
