seed,organ,jamming,k,avoidance,reachability,safety
0,Lungs,1,7,0.0,0.0,0.9968224188216999
0,Lungs,1,8,0.0,0.0,0.9967607534989247
0,Lungs,1,9,0.0,0.0,0.9957644052656088
0,Lungs,1,10,0.0,0.0,0.9956835265161903
0,Lungs,1,11,4.722066551415564e-05,4.722066551415564e-05,0.9947069352116693
0,Lungs,1,12,0.4345813111774175,0.4345813111774175,0.9946073007014412
0,Lungs,1,13,0.6050713264208022,0.6050713264208022,0.9936499784817427
0,Lungs,1,14,0.7211443196006865,0.7211443196006865,0.9935319545385973
0,Lungs,1,15,0.7622110170593157,0.7622110170593157,0.9925935009446405
0,Lungs,1,16,0.7807709597099773,0.7807709597099773,0.9924573872906853
0,Lungs,1,17,0.7869590292893534,0.7869590292893534,0.9915374660730101
0,Lungs,1,18,0.7968073525395074,0.7968073525395074,0.9913835160592851
0,Lungs,1,19,0.802284685789661,0.802284685789661,0.9904818363443012
0,Lungs,1,20,0.80473381622067,0.80473381622067,0.9903102731967339
0,Liver,1,1,0.0,0.0,1.0
0,Liver,1,2,0.0,0.0,1.0
0,Liver,1,3,0.0,0.0,0.9989402119894001
0,Liver,1,4,0.0,0.0,0.9989188169958261
0,Liver,1,5,0.0,0.0,0.9978810045302289
0,Liver,1,6,0.0,0.0,0.9978391269943551
0,Liver,1,7,0.0,0.0,0.9968224188216999
0,Liver,1,8,0.0,0.0,0.9967607534989247
0,Liver,1,9,0.0,0.0,0.9957644052656088
0,Liver,1,10,5.930502151934556e-13,5.930502151934556e-13,0.9956835265161903
0,Liver,1,11,1.573803685263756e-08,1.573803685263756e-08,0.9947069352116693
0,Liver,1,12,0.00014094989751751232,0.00014094989751751232,0.9946073007014412
0,Liver,1,13,0.4265424755933172,0.4265424755933172,0.9936499784817427
0,Liver,1,14,0.6094959635225786,0.6094959635225786,0.9935319545385973
0,Liver,1,15,0.7224545268829075,0.7224545268829075,0.9925935009446405
0,Liver,1,16,0.7638689906146156,0.7638689906146156,0.9924573872906853
0,Liver,1,17,0.781383769564193,0.781383769564193,0.9915374660730101
0,Liver,1,18,0.7872891735473782,0.7872891735473782,0.9913835160592851
0,Liver,1,19,0.7973172331006724,0.7973172331006724,0.9904818363443012
0,Liver,1,20,0.8026058403089129,0.8026058403089129,0.9903102731967339
0,Intestines,1,1,0.0,0.0,1.0
0,Intestines,1,2,0.0,0.0,1.0
0,Intestines,1,3,0.0,0.0,0.9989402119894001
0,Intestines,1,4,0.0,0.0,0.9989188169958261
0,Intestines,1,5,0.0,0.0,0.9978810045302289
0,Intestines,1,6,0.0,0.0,0.9978391269943551
0,Intestines,1,7,0.0,0.0,0.9968224188216999
0,Intestines,1,8,0.0,0.0,0.9967607534989247
0,Intestines,1,9,0.0,0.0,0.9957644052656088
0,Intestines,1,10,0.0,0.0,0.9956835265161903
0,Intestines,1,11,6.450952174202681e-21,6.450952174202681e-21,0.9947069352116693
0,Intestines,1,12,2.8265206387199417e-16,2.8265206387199417e-16,0.9946073007014412
0,Intestines,1,13,5.015362694632474e-12,5.015362694632474e-12,0.9936499784817427
0,Intestines,1,14,4.503779752740399e-08,4.503779752740399e-08,0.9935319545385973
0,Intestines,1,15,0.0002038555667414453,0.0002038555667414453,0.9925935009446405
0,Intestines,1,16,0.369206585622332,0.369206585622332,0.9924573872906853
0,Intestines,1,17,0.5719623443221115,0.5719623443221115,0.9915374660730101
0,Intestines,1,18,0.6990296449284762,0.6990296449284762,0.9913835160592851
0,Intestines,1,19,0.7526181648807858,0.7526181648807858,0.9904818363443012
0,Intestines,1,20,0.7759171217354194,0.7759171217354194,0.9903102731967339
0,Pancreas,1,1,0.0,0.0,1.0
0,Pancreas,1,2,0.0,0.0,1.0
0,Pancreas,1,3,0.0,0.0,0.9989402119894001
0,Pancreas,1,4,0.0,0.0,0.9989188169958261
0,Pancreas,1,5,0.0,0.0,0.9978810045302289
0,Pancreas,1,6,0.0,0.0,0.9978391269943551
0,Pancreas,1,7,0.0,0.0,0.9968224188216999
0,Pancreas,1,8,0.0,0.0,0.9967607534989247
0,Pancreas,1,9,0.0,0.0,0.9957644052656088
0,Pancreas,1,10,5.354802504968023e-09,5.354802504968023e-09,0.9956835265161903
0,Pancreas,1,11,9.754949135915396e-05,9.754949135915396e-05,0.9947069352116693
0,Pancreas,1,12,0.4442901437284987,0.4442901437284987,0.9946073007014412
0,Pancreas,1,13,0.6174832614681807,0.6174832614681807,0.9936499784817427
0,Pancreas,1,14,0.7275847601264124,0.7275847601264124,0.9935319545385973
0,Pancreas,1,15,0.7658313405585074,0.7658313405585074,0.9925935009446405
0,Pancreas,1,16,0.782257703124573,0.782257703124573,0.9924573872906853
0,Pancreas,1,17,0.787615599578648,0.787615599578648,0.9915374660730101
0,Pancreas,1,18,0.7979916972498435,0.7979916972498435,0.9913835160592851
0,Pancreas,1,19,0.8029259487064594,0.8029259487064594,0.9904818363443012
0,Pancreas,1,20,0.8050188672341555,0.8050188672341555,0.9903102731967339
0,Kidneys,1,1,0.0,0.0,1.0
0,Kidneys,1,2,0.0,0.0,1.0
0,Kidneys,1,3,0.0,0.0,0.9989402119894001
0,Kidneys,1,4,0.0,0.0,0.9989188169958261
0,Kidneys,1,5,0.0,0.0,0.9978810045302289
0,Kidneys,1,6,0.0,0.0,0.9978391269943551
0,Kidneys,1,7,0.0,0.0,0.9968224188216999
0,Kidneys,1,8,0.0,0.0,0.9967607534989247
0,Kidneys,1,9,0.0,0.0,0.9957644052656088
0,Kidneys,1,10,5.028492199272654e-05,5.028492199272654e-05,0.9956835265161903
0,Kidneys,1,11,0.462780231773025,0.462780231773025,0.9947069352116693
0,Kidneys,1,12,0.6254685753064817,0.6254685753064817,0.9946073007014412
0,Kidneys,1,13,0.7331906476338456,0.7331906476338456,0.9936499784817427
0,Kidneys,1,14,0.7683891563597464,0.7683891563597464,0.9935319545385973
0,Kidneys,1,15,0.7838668170365399,0.7838668170365399,0.9925935009446405
0,Kidneys,1,16,0.7887233923986013,0.7887233923986013,0.9924573872906853
0,Kidneys,1,17,0.7994327997830044,0.7994327997830044,0.9915374660730101
0,Kidneys,1,18,0.8040445107690742,0.8040445107690742,0.9913835160592851
0,Kidneys,1,19,0.8059938664468971,0.8059938664468971,0.9904818363443012
0,Kidneys,1,20,0.8067934503522282,0.8067934503522282,0.9903102731967339
1,Heart,0,1,0.0,0.0,1.0
1,Heart,0,2,0.0,0.0,1.0
1,Heart,0,3,0.0,0.0,1.0
1,Heart,0,4,0.0,0.0,1.0
1,Heart,0,5,0.0,0.0,1.0
1,Heart,0,6,0.0,0.0,1.0
1,Heart,0,7,0.0,0.0,1.0
1,Heart,0,8,0.0,0.0,1.0
1,Heart,0,9,0.0,0.0,0.9999999999987208
1,Heart,0,10,7.339090059077606e-21,7.339090059077606e-21,0.9999999999948325
1,Heart,0,11,3.3111480298662063e-16,3.3111480298662063e-16,0.9999999999893393
1,Heart,0,12,5.9756120007013895e-12,5.9756120007013895e-12,0.9999999999834308
1,Heart,0,13,5.3922602307266255e-08,5.3922602307266255e-08,0.99999999997735
1,Heart,0,14,0.00024331318696967658,0.00024331318696967658,0.9999999999711847
1,Heart,0,15,0.4393040699101087,0.4393040699101087,0.9999999999649734
1,Heart,0,16,0.6599596525020074,0.6599596525020074,0.9999999999587049
1,Heart,0,17,0.7933547258611819,0.7933547258611819,0.9999999999523986
1,Heart,0,18,0.846318870789972,0.846318870789972,0.9999999999460392
1,Heart,0,19,0.8683784792903606,0.8683784792903606,0.999999999939641
1,Heart,0,20,0.8761199743639847,0.8761199743639847,0.9999999999331906
1,Lungs,0,1,0.0,0.0,1.0
1,Lungs,0,2,0.0,0.0,1.0
1,Lungs,0,3,0.0,0.0,1.0
1,Lungs,0,4,0.0,0.0,1.0
1,Lungs,0,5,0.0,0.0,1.0
1,Lungs,0,6,0.0,0.0,1.0
1,Lungs,0,7,0.0,0.0,1.0
1,Lungs,0,8,0.0,0.0,1.0
1,Lungs,0,9,7.807524944000003e-21,7.807524944000003e-21,0.9999999999987208
1,Lungs,0,10,3.5078055712318037e-16,3.5078055712318037e-16,0.9999999999948325
1,Lungs,0,11,6.317264069400928e-12,6.317264069400928e-12,0.9999999999893393
1,Lungs,0,12,5.700548373431003e-08,5.700548373431003e-08,0.9999999999834308
1,Lungs,0,13,0.0002577622378239121,0.0002577622378239121,0.99999999997735
1,Lungs,0,14,0.4673326473851924,0.4673326473851924,0.9999999999711847
1,Lungs,0,15,0.6829876914206343,0.6829876914206343,0.9999999999649734
1,Lungs,0,16,0.8067460586363266,0.8067460586363266,0.9999999999587049
1,Lungs,0,17,0.852809889790208,0.852809889790208,0.9999999999523986
1,Lungs,0,18,0.8712679106927469,0.8712679106927469,0.9999999999460392
1,Lungs,0,19,0.8774506043262873,0.8774506043262873,0.999999999939641
1,Lungs,0,20,0.8795883376476485,0.8795883376476485,0.9999999999331906
1,Liver,0,1,0.0,0.0,1.0
1,Liver,0,2,0.0,0.0,1.0
1,Liver,0,3,0.0,0.0,1.0
1,Liver,0,4,0.0,0.0,1.0
1,Liver,0,5,0.0,0.0,1.0
1,Liver,0,6,0.0,0.0,1.0
1,Liver,0,7,0.0,0.0,1.0
1,Liver,0,8,0.0,0.0,1.0
1,Liver,0,9,0.0,0.0,0.9999999999987208
1,Liver,0,10,0.0,0.0,0.9999999999948325
1,Liver,0,11,2.2484110333731206e-24,2.2484110333731206e-24,0.9999999999893393
1,Liver,0,12,1.0143981194848161e-19,1.0143981194848161e-19,0.9999999999834308
1,Liver,0,13,1.8916823210412384e-15,1.8916823210412384e-15,0.99999999997735
1,Liver,0,14,1.8721739675696862e-11,1.8721739675696862e-11,0.9999999999711847
1,Liver,0,15,1.0434928851158752e-07,1.0434928851158752e-07,0.9999999999649734
1,Liver,0,16,0.00031392351357838535,0.00031392351357838535,0.9999999999587049
1,Liver,0,17,0.4049325507059145,0.4049325507059145,0.9999999999523986
1,Liver,0,18,0.6409733214981214,0.6409733214981214,0.9999999999460392
1,Liver,0,19,0.7819538466362802,0.7819538466362802,0.999999999939641
1,Liver,0,20,0.8416218540312141,0.8416218540312141,0.9999999999331906
1,Intestines,0,1,0.0,0.0,1.0
1,Intestines,0,2,0.0,0.0,1.0
1,Intestines,0,3,0.0,0.0,1.0
1,Intestines,0,4,0.0,0.0,1.0
1,Intestines,0,5,0.0,0.0,1.0
1,Intestines,0,6,0.0,0.0,1.0
1,Intestines,0,7,0.0,0.0,1.0
1,Intestines,0,8,0.0,0.0,1.0
1,Intestines,0,9,0.0,0.0,0.9999999999987208
