seed,k,p_safety_bounded
17,6,0.9964860574873596
17,7,0.9940325424050204
17,8,0.9907170652547237
17,9,0.9872219505088725
17,10,0.9833284858804902
17,11,0.9794244777223613
17,12,0.9754373798141805
17,13,0.972078584348092
17,14,0.9689893682180769
17,15,0.9663411067387877
17,16,0.9639821634120228
17,17,0.9619437298666176
17,18,0.9601545022731732
17,19,0.9586046767288892
17,20,0.9574822576471511
18,1,1.0
18,2,1.0
18,3,1.0
18,4,0.9997177600000001
18,5,0.9995032576
18,6,0.9979326753279999
18,7,0.9964954860236798
18,8,0.9935172457722876
18,9,0.9904667364308865
18,10,0.9861689152773728
18,11,0.9816150037019322
18,12,0.9762069730427707
18,13,0.9705179926352012
18,14,0.9643118529861474
18,15,0.9579105895637038
18,16,0.9512623714258285
18,17,0.9445513928472848
18,18,0.9378001286472789
18,19,0.9311183572941654
18,20,0.9245796620308971
19,1,1.0
19,2,1.0
19,3,1.0
19,4,0.9999999999999997
19,5,0.9999999999999998
19,6,0.9999999999999998
19,7,0.9999999999999998
19,8,0.999998689219379
19,9,0.999992950861496
19,10,0.9999797761985311
19,11,0.9999486544635708
19,12,0.9998970211229407
19,13,0.9998080425866244
19,14,0.999680332184142
19,15,0.9994947739111193
19,16,0.9992501697972065
19,17,0.9989295794518632
19,18,0.998531292557528
19,19,0.9980420652735569
19,20,0.9974603043979009
