seed,organ,jamming,pmax_avoidance,pmax_reachability,pmax_safety,n_states,error
5,Intestines,1,0.9844649575409147,0.9844649575409147,0.7652640191529508,275,
5,Pancreas,1,0.98335437151225,0.98335437151225,0.7652640191529508,275,
5,Kidneys,1,0.9834214722021419,0.9834214722021419,0.7652640191529508,275,
6,Heart,0,0.9375475709235387,0.9375475709235387,0.9998723342839065,139,
6,Lungs,0,0.9375475529164263,0.9375475529164263,0.9998723342839065,139,
6,Liver,0,0.9375475742136898,0.9375475742136898,0.9998723342839065,139,
6,Intestines,0,0.9375395926660947,0.9375395926660947,0.9998723342839065,139,
6,Pancreas,0,0.9375475674982653,0.9375475674982653,0.9998723342839065,139,
6,Kidneys,0,0.9375477546154574,0.9375477546154574,0.9998723342839065,139,
6,Heart,1,0.7975488389963902,0.7975488389963902,0.7607617471655516,272,
6,Lungs,1,0.7972126869563533,0.7972126869563533,0.7607617471655516,272,
6,Liver,1,0.7969036318285273,0.7969036318285273,0.7607617471655516,272,
6,Intestines,1,0.7981482797527327,0.7981482797527327,0.7607617471655516,272,
6,Pancreas,1,0.7971271904008385,0.7971271904008385,0.7607617471655516,272,
6,Kidneys,1,0.7987575155109645,0.7987575155109645,0.7607617471655516,272,
7,Heart,0,0.8737641473284622,0.8737641473284622,1.0,142,
7,Lungs,0,0.8737641473284622,0.8737641473284622,1.0,142,
7,Liver,0,0.8737641473284622,0.8737641473284622,1.0,142,
7,Intestines,0,0.8737641473284622,0.8737641473284622,1.0,142,
7,Pancreas,0,0.8737641473284622,0.8737641473284622,1.0,142,
7,Kidneys,0,0.8737641473284622,0.8737641473284622,1.0,142,
7,Heart,1,0.8472395406444337,0.8472395406444337,0.7652640191529392,278,
7,Lungs,1,0.8484904394663162,0.8484904394663162,0.7652640191529392,278,
7,Liver,1,0.8465860700162828,0.8465860700162828,0.7652640191529392,278,
7,Intestines,1,0.845637312805505,0.845637312805505,0.7652640191529392,278,
7,Pancreas,1,0.8475336187720878,0.8475336187720878,0.7652640191529392,278,
7,Kidneys,1,0.8465779710635665,0.8465779710635665,0.7652640191529392,278,
8,Heart,0,0.97959183673344,0.97959183673344,0.9795918367347201,139,
8,Lungs,0,0.97959183673344,0.97959183673344,0.9795918367347201,139,
8,Liver,0,0.97959183673344,0.97959183673344,0.9795918367347201,139,
8,Intestines,0,0.97959183673344,0.97959183673344,0.9795918367347201,139,
8,Pancreas,0,0.97959183673344,0.97959183673344,0.9795918367347201,139,
8,Kidneys,0,0.97959183673344,0.97959183673344,0.9795918367347201,139,
8,Heart,1,0.964530876286468,0.964530876286468,0.752811107779479,278,
8,Lungs,1,0.9634193465054537,0.9634193465054537,0.752811107779479,278,
8,Liver,1,0.9613571955171585,0.9613571955171585,0.752811107779479,278,
8,Intestines,1,0.9643577412348923,0.9643577412348923,0.752811107779479,278,
8,Pancreas,1,0.962466186001961,0.962466186001961,0.752811107779479,278,
8,Kidneys,1,0.962285457531365,0.962285457531365,0.752811107779479,278,
9,Heart,0,0.9591774328550579,0.9591774328550579,0.9591936852670703,142,
9,Lungs,0,0.9591774328550579,0.9591774328550579,0.9591936852670703,142,
9,Liver,0,0.9591774328550579,0.9591774328550579,0.9591936852670703,142,
9,Intestines,0,0.9591774328550579,0.9591774328550579,0.9591936852670703,142,
9,Pancreas,0,0.9591774328550579,0.9591774328550579,0.9591936852670703,142,
9,Kidneys,0,0.9591774328550579,0.9591774328550579,0.9591936852670703,142,
