seed,organ,jamming,k,avoidance,reachability,safety
0,Lungs,1,19,0.0008493918866385729,0.0008493918866385729,0.9809935697858863
0,Lungs,1,20,0.0012520086224042492,0.0012520086224042492,0.9796506511251026
0,Liver,1,1,0.0,0.0,0.9999999999999998
0,Liver,1,2,0.0,0.0,0.9999999999999997
0,Liver,1,3,0.0,0.0,0.9990231359999998
0,Liver,1,4,0.0,0.0,0.9987589192819197
0,Liver,1,5,0.0,0.0,0.9978756913011084
0,Liver,1,6,0.0,0.0,0.9972649931636051
0,Liver,1,7,0.0,0.0,0.9962079592361692
0,Liver,1,8,0.0,0.0,0.9952201732733111
0,Liver,1,9,0.0,0.0,0.9940265127027359
0,Liver,1,10,8.320679664995426e-13,8.320679664995426e-13,0.9928437928313782
0,Liver,1,11,9.146238612427705e-10,9.146238612427705e-10,0.9915774729573352
0,Liver,1,12,3.550696245095221e-07,3.550696245095221e-07,0.9903032452938679
0,Liver,1,13,4.36004777336886e-06,4.36004777336886e-06,0.9889950883474616
0,Liver,1,14,2.1308980118244015e-05,2.1308980118244015e-05,0.987679463525612
0,Liver,1,15,6.724630498868895e-05,6.724630498868895e-05,0.9863500060420257
0,Liver,1,16,0.0001631486241254727,0.0001631486241254727,0.9850162747416513
0,Liver,1,17,0.0003301621894033251,0.0003301621894033251,0.9836771396210933
0,Liver,1,18,0.0005851647483628287,0.0005851647483628287,0.9823362128515113
0,Liver,1,19,0.000938559928675144,0.000938559928675144,0.9809935697858863
0,Liver,1,20,0.0013942178124307504,0.0013942178124307504,0.9796506511251026
0,Intestines,1,1,0.0,0.0,0.9999999999999998
0,Intestines,1,2,0.0,0.0,0.9999999999999997
0,Intestines,1,3,0.0,0.0,0.9990231359999998
0,Intestines,1,4,0.0,0.0,0.9987589192819197
0,Intestines,1,5,0.0,0.0,0.9978756913011084
0,Intestines,1,6,0.0,0.0,0.9972649931636051
0,Intestines,1,7,0.0,0.0,0.9962079592361692
0,Intestines,1,8,0.0,0.0,0.9952201732733111
0,Intestines,1,9,0.0,0.0,0.9940265127027359
0,Intestines,1,10,0.0,0.0,0.9928437928313782
0,Intestines,1,11,3.785913033485953e-20,3.785913033485953e-20,0.9915774729573352
0,Intestines,1,12,1.2676529531037416e-16,1.2676529531037416e-16,0.9903032452938679
0,Intestines,1,13,1.04838888500033e-13,1.04838888500033e-13,0.9889950883474616
0,Intestines,1,14,2.7076752021139257e-11,2.7076752021139257e-11,0.987679463525612
0,Intestines,1,15,2.5256253875798304e-09,2.5256253875798304e-09,0.9863500060420257
0,Intestines,1,16,3.736735728970612e-08,3.736735728970612e-08,0.9850162747416513
0,Intestines,1,17,2.540209414981856e-07,2.540209414981856e-07,0.9836771396210933
0,Intestines,1,18,1.085916118752223e-06,1.085916118752223e-06,0.9823362128515113
0,Intestines,1,19,3.420071041458244e-06,3.420071041458244e-06,0.9809935697858863
0,Intestines,1,20,8.737698014322208e-06,8.737698014322208e-06,0.9796506511251026
0,Pancreas,1,1,0.0,0.0,0.9999999999999998
0,Pancreas,1,2,0.0,0.0,0.9999999999999997
0,Pancreas,1,3,0.0,0.0,0.9990231359999998
0,Pancreas,1,4,0.0,0.0,0.9987589192819197
0,Pancreas,1,5,0.0,0.0,0.9978756913011084
0,Pancreas,1,6,0.0,0.0,0.9972649931636051
0,Pancreas,1,7,0.0,0.0,0.9962079592361692
0,Pancreas,1,8,0.0,0.0,0.9952201732733111
0,Pancreas,1,9,0.0,0.0,0.9940265127027359
0,Pancreas,1,10,1.3309578376920216e-09,1.3309578376920216e-09,0.9928437928313782
0,Pancreas,1,11,6.773122409266563e-07,6.773122409266563e-07,0.9915774729573352
0,Pancreas,1,12,7.872031584499956e-06,7.872031584499956e-06,0.9903032452938679
0,Pancreas,1,13,3.490517105710054e-05,3.490517105710054e-05,0.9889950883474616
0,Pancreas,1,14,0.00010019408003441139,0.00010019408003441139,0.987679463525612
0,Pancreas,1,15,0.00022296340588067508,0.00022296340588067508,0.9863500060420257
0,Pancreas,1,16,0.0004196847705022073,0.0004196847705022073,0.9850162747416513
0,Pancreas,1,17,0.0007021171810737264,0.0007021171810737264,0.9836771396210933
0,Pancreas,1,18,0.001076782422205239,0.001076782422205239,0.9823362128515113
0,Pancreas,1,19,0.0015455744986101884,0.0015455744986101884,0.9809935697858863
0,Pancreas,1,20,0.00210646989842737,0.00210646989842737,0.9796506511251026
0,Kidneys,1,1,0.0,0.0,0.9999999999999998
0,Kidneys,1,2,0.0,0.0,0.9999999999999997
0,Kidneys,1,3,0.0,0.0,0.9990231359999998
0,Kidneys,1,4,0.0,0.0,0.9987589192819197
0,Kidneys,1,5,0.0,0.0,0.9978756913011084
0,Kidneys,1,6,0.0,0.0,0.9972649931636051
0,Kidneys,1,7,0.0,0.0,0.9962079592361692
0,Kidneys,1,8,0.0,0.0,0.9952201732733111
0,Kidneys,1,9,0.0,0.0,0.9940265127027359
0,Kidneys,1,10,1.333841450619485e-06,1.333841450619485e-06,0.9928437928313782
0,Kidneys,1,11,1.501569958585458e-05,1.501569958585458e-05,0.9915774729573352
0,Kidneys,1,12,6.169277351650746e-05,6.169277351650746e-05,0.9903032452938679
0,Kidneys,1,13,0.00016521628736580431,0.00016521628736580431,0.9889950883474616
0,Kidneys,1,14,0.0003460322026316636,0.0003460322026316636,0.987679463525612
0,Kidneys,1,15,0.0006173105862976037,0.0006173105862976037,0.9863500060420257
0,Kidneys,1,16,0.0009840030536483336,0.0009840030536483336,0.9850162747416513
0,Kidneys,1,17,0.0014438392989054795,0.0014438392989054795,0.9836771396210933
0,Kidneys,1,18,0.0019891972593358976,0.0019891972593358976,0.9823362128515113
0,Kidneys,1,19,0.002609097633973557,0.002609097633973557,0.9809935697858863
0,Kidneys,1,20,0.0032909248343822874,0.0032909248343822874,0.9796506511251026
1,Heart,0,1,0.0,0.0,0.9999999999999999
1,Heart,0,2,0.0,0.0,0.9999999999999997
1,Heart,0,3,0.0,0.0,0.9999999999999997
1,Heart,0,4,0.0,0.0,0.9999999999999997
1,Heart,0,5,0.0,0.0,0.9999999999999997
1,Heart,0,6,0.0,0.0,0.9999999999999996
1,Heart,0,7,0.0,0.0,0.9999999999999994
1,Heart,0,8,0.0,0.0,0.9999999999999994
1,Heart,0,9,0.0,0.0,0.9999788759696461
1,Heart,0,10,9.252659328000007e-18,9.252659328000007e-18,0.9999067463548926
1,Heart,0,11,1.173696267946755e-14,1.173696267946755e-14,0.9997676911370456
1,Heart,0,12,4.787061823357184e-12,4.787061823357184e-12,0.9995584999568458
1,Heart,0,13,6.050292457827264e-10,6.050292457827264e-10,0.9992828685474823
1,Heart,0,14,1.399633001147015e-08,1.399633001147015e-08,0.9989472301943705
1,Heart,0,15,1.361442674143358e-07,1.361442674143358e-07,0.9985589839988546
1,Heart,0,16,7.683647597118567e-07,7.683647597118567e-07,0.998125153792811
1,Heart,0,17,2.988968126646766e-06,2.988968126646766e-06,0.9976520488374706
1,Heart,0,18,8.908381408712719e-06,8.908381408712719e-06,0.9971450189116284
1,Heart,0,19,2.242078969779339e-05,2.242078969779339e-05,0.9966085312422069
1,Heart,0,20,5.075755858070841e-05,5.075755858070841e-05,0.9960462282942928
1,Lungs,0,1,0.0,0.0,0.9999999999999999
1,Lungs,0,2,0.0,0.0,0.9999999999999997
1,Lungs,0,3,0.0,0.0,0.9999999999999997
1,Lungs,0,4,0.0,0.0,0.9999999999999997
1,Lungs,0,5,0.0,0.0,0.9999999999999997
1,Lungs,0,6,0.0,0.0,0.9999999999999996
1,Lungs,0,7,0.0,0.0,0.9999999999999994
1,Lungs,0,8,0.0,0.0,0.9999999999999994
1,Lungs,0,9,4.205754240000004e-17,4.205754240000004e-17,0.9999788759696461
1,Lungs,0,10,8.219962214592013e-14,8.219962214592013e-14,0.9999067463548926
1,Lungs,0,11,4.5095509123631407e-11,4.5095509123631407e-11,0.9997676911370456
1,Lungs,0,12,1.3291390032620953e-08,1.3291390032620953e-08,0.9995584999568458
1,Lungs,0,13,2.851446996801682e-07,2.851446996801682e-07,0.9992828685474823
1,Lungs,0,14,2.1781650664645208e-06,2.1781650664645208e-06,0.9989472301943705
1,Lungs,0,15,9.102610028989073e-06,9.102610028989073e-06,0.9985589839988546
1,Lungs,0,16,2.6690488085725005e-05,2.6690488085725005e-05,0.998125153792811
1,Lungs,0,17,6.202150270135835e-05,6.202150270135835e-05,0.9976520488374706
1,Lungs,0,18,0.00012229932006897748,0.00012229932006897748,0.9971450189116284
1,Lungs,0,19,0.0002135384219348352,0.0002135384219348352,0.9966085312422069
1,Lungs,0,20,0.000339655888775547,0.000339655888775547,0.9960462282942928
1,Liver,0,1,0.0,0.0,0.9999999999999999
1,Liver,0,2,0.0,0.0,0.9999999999999997
1,Liver,0,3,0.0,0.0,0.9999999999999997
1,Liver,0,4,0.0,0.0,0.9999999999999997
1,Liver,0,5,0.0,0.0,0.9999999999999997
1,Liver,0,6,0.0,0.0,0.9999999999999996
1,Liver,0,7,0.0,0.0,0.9999999999999994
1,Liver,0,8,0.0,0.0,0.9999999999999994
1,Liver,0,9,0.0,0.0,0.9999788759696461
1,Liver,0,10,0.0,0.0,0.9999067463548926
1,Liver,0,11,4.541373428352005e-21,4.541373428352005e-21,0.9997676911370456
1,Liver,0,12,1.1688446147775211e-17,1.1688446147775211e-17,0.9995584999568458
1,Liver,0,13,7.0726673243969146e-15,7.0726673243969146e-15,0.9992828685474823
1,Liver,0,14,1.420529122412656e-12,1.420529122412656e-12,0.9989472301943705
1,Liver,0,15,1.112562736208002e-10,1.112562736208002e-10,0.9985589839988546
